;host_response_time;host_response_rate;host_is_superhost;host_listings_count;latitude;longitude;property_type;room_type;accommodates;bathrooms;bedrooms;beds;bed_type;amenities;price;security_deposit;cleaning_fee;guests_included;extra_people;minimum_nights;maximum_nights;number_of_reviews;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable;is_business_travel_ready;cancellation_policy;ano;mes
0;;;f;1.0;-22.946854109114245;-43.182737237144536;Apartment;Entire home/apt;4;1.0;0.0;2.0;Real Bed;"{TV,Internet,""Air conditioning"",Kitchen,Doorman,Elevator,""Family/kid friendly"",Washer,Hangers,Iron,""Laptop friendly workspace""}";$133.00;$1,025.00;$102.00;2;$34.00;60;365;38;91.0;9.0;9.0;9.0;9.0;9.0;9.0;f;f;strict_14_with_grace_period;2018;4
1;within an hour;100%;t;2.0;-22.96591903141144;-43.17896230586568;Condominium;Entire home/apt;5;1.0;2.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Smoking allowed"",Doorman,Elevator,""Hot tub"",""Family/kid friendly"",""Suitable for events"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Front desk/doorperson"",""Private entrance"",""Hot water"",""Bed linens"",""Luggage dropoff allowed""}";$270.00;$0.00;$273.00;2;$51.00;4;90;205;93.0;10.0;9.0;10.0;10.0;9.0;9.0;t;f;strict;2018;4
2;within an hour;100%;f;1.0;-22.9856978888963;-43.20193477968938;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",""First aid kit"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Pocket wifi"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Beach essentials""}";$222.00;$851.00;$211.00;2;$215.00;3;90;85;95.0;10.0;10.0;10.0;10.0;10.0;9.0;f;f;strict;2018;4
3;within an hour;100%;f;3.0;-22.977116804101872;-43.19045414722083;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}";$161.00;$1,000.00;$220.00;2;$45.00;4;30;208;94.0;9.0;10.0;10.0;10.0;10.0;9.0;f;f;strict;2018;4
4;within an hour;100%;t;1.0;-22.98302369705461;-43.21427004586688;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}";$222.00;;$85.00;2;$68.00;2;1125;200;96.0;10.0;10.0;10.0;10.0;10.0;9.0;t;f;strict;2018;4
5;within an hour;100%;t;1.0;-22.988164695838663;-43.1935877232457;Apartment;Entire home/apt;3;1.5;1.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Elevator,""Free street parking"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Self check-in"",Lockbox,""Hot water"",""Bed linens"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Long term stays allowed"",""Cleaning before checkout""}";$308.00;$856.00;$158.00;2;$86.00;2;89;116;94.0;10.0;9.0;10.0;10.0;10.0;9.0;f;f;strict;2018;4
6;within an hour;100%;t;1.0;-22.981268983403904;-43.19045722266827;Loft;Entire home/apt;2;1.0;1.0;2.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Elevator,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self check-in"",""Front desk/doorperson"",""Room-darkening shades"",""Hot water"",""Luggage dropoff allowed"",""Wide doorway"",""Well-lit path to entrance"",""Step-free access"",""Wide clearance to bed"",""Step-free access"",""Bathtub with bath chair"",""Wide entryway"",Beachfront}";$219.00;$400.00;$140.00;2;$80.00;3;30;255;97.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;strict;2018;4
7;within a day;50%;f;1.0;-22.96680789927568;-43.18657351368087;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;"{Internet,Wifi,Kitchen,""Free parking on premises"",Doorman,Elevator,""Buzzer/wireless intercom"",Washer,Essentials,""24-hour check-in"",Iron}";$150.00;;$150.00;1;$150.00;4;60;1;;;;;;;;f;f;moderate;2018;4
8;within a few hours;100%;f;3.0;-22.921990204401368;-43.18383627708071;Apartment;Entire home/apt;3;1.0;0.0;2.0;Real Bed;"{TV,Wifi,Kitchen,""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Hangers,Iron,""Laptop friendly workspace""}";$120.00;$2,049.00;$512.00;1;$0.00;3;730;1;80.0;6.0;4.0;8.0;6.0;6.0;4.0;f;f;strict;2018;4
9;within an hour;94%;f;6.0;-22.9863327988552;-43.20256262652219;Apartment;Entire home/apt;14;7.0;6.0;7.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Breakfast,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}";$3,241.00;$2,947.00;$421.00;7;$126.00;2;89;33;87.0;9.0;9.0;9.0;8.0;10.0;8.0;t;f;strict;2018;4
10;within an hour;100%;t;1.0;-22.983592667034543;-43.19381929721071;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;"{TV,""Cable TV"",Wifi,Breakfast,Elevator,""Free street parking"",Heating,Washer,""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Front desk/doorperson"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallway clearance"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Step-free access"",""Wide doorway"",""Wide clearance to bed"",""Accessible-height bed"",""Step-free access"",""Accessible-height toilet"",""Wide clearance to shower, toilet"",""Wide entryway""}";$106.00;$0.00;$0.00;1;$137.00;3;30;12;97.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;strict;2018;4
11;within an hour;100%;f;7.0;-22.964674754014865;-43.1744184568611;Apartment;Entire home/apt;11;3.5;4.0;6.0;Real Bed;"{""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Family/kid friendly"",""Suitable for events"",Washer}";$557.00;$650.00;$200.00;8;$80.00;3;750;2;80.0;8.0;6.0;8.0;8.0;8.0;6.0;f;f;strict_14_with_grace_period;2018;4
12;within a few hours;90%;f;51.0;-22.97934047183976;-43.19112518175488;Apartment;Entire home/apt;3;1.0;0.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,""24-hour check-in"",Hangers,Iron,""Laptop friendly workspace"",""Self check-in"",""Front desk/doorperson"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection""}";$154.00;$0.00;$171.00;2;$17.00;3;90;63;93.0;9.0;9.0;10.0;10.0;9.0;9.0;t;f;strict;2018;4
13;within an hour;94%;f;6.0;-22.985507029960672;-43.20409638380855;Apartment;Entire home/apt;8;4.0;3.0;3.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Front desk/doorperson"",Crib,""Room-darkening shades"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Beach essentials"",""Luggage dropoff allowed"",""Long term stays allowed"",""Well-lit path to entrance"",""Wide clearance to bed"",""Host greets you"",""Paid parking on premises""}";$844.00;$2,105.00;$211.00;4;$126.00;2;89;50;89.0;9.0;9.0;9.0;9.0;10.0;9.0;t;f;strict;2018;4
14;within a few hours;100%;f;1.0;-23.010607633886742;-43.3407272791042;Serviced apartment;Entire home/apt;4;1.5;2.0;3.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Doorman,Gym,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Self check-in"",""Front desk/doorperson"",""Hot water"",""Long term stays allowed"",Beachfront}";$301.00;$500.00;$140.00;4;$150.00;4;2000;8;100.0;10.0;9.0;10.0;10.0;10.0;10.0;f;f;strict;2018;4
15;within a day;70%;f;4.0;-23.00307495204619;-43.30911201234123;House;Entire home/apt;12;7.0;4.0;7.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Doorman,Breakfast,""Pets live on this property"",Elevator,""Hot tub"",""Buzzer/wireless intercom"",""Family/kid friendly"",""Suitable for events"",Washer,Dryer,Essentials,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets""}";$2,123.00;;$514.00;1;$0.00;1;730;7;91.0;10.0;10.0;10.0;9.0;9.0;9.0;f;f;strict;2018;4
16;within an hour;100%;t;2.0;-22.981082418797453;-43.19077642991398;Apartment;Entire home/apt;2;1.0;0.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Front desk/doorperson"",""Private entrance"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallway clearance"",""Step-free access"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Step-free access"",""Step-free access"",""Accessible-height toilet"",Waterfront,Beachfront}";$143.00;$324.00;$135.00;2;$100.00;3;1125;97;93.0;9.0;10.0;10.0;10.0;10.0;9.0;t;f;strict;2018;4
17;within a day;100%;f;21.0;-23.00824889982358;-43.29196227282903;House;Entire home/apt;10;5.0;4.0;6.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Family/kid friendly"",""Suitable for events"",Washer,Dryer,Essentials}";$854.00;$2,732.00;$205.00;4;$154.00;2;365;13;100.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict;2018;4
18;within a few hours;100%;f;1.0;-22.981808499143884;-43.20207447846784;Apartment;Private room;1;2.0;1.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",Doorman,Breakfast,Elevator,""Buzzer/wireless intercom"",Washer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}";$79.00;$500.00;$100.00;1;$0.00;5;1125;3;90.0;8.0;8.0;9.0;9.0;10.0;8.0;f;f;strict;2018;4
19;within a few hours;100%;f;2.0;-22.930459638444702;-43.174499045394604;Apartment;Entire home/apt;6;2.0;4.0;4.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,Elevator,Heating,""Family/kid friendly"",Washer,""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private living room"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Pocket wifi"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Host greets you"",Beachfront}";$758.00;$589.00;$211.00;5;$118.00;7;365;8;94.0;10.0;10.0;10.0;10.0;10.0;9.0;f;f;strict;2018;4
20;;;f;3.0;-22.98021389833303;-43.20232434530234;Apartment;Entire home/apt;4;3.0;2.0;5.0;Real Bed;"{TV,""Cable TV"",Internet,""Air conditioning"",Kitchen,Doorman,Elevator,""Family/kid friendly"",Washer,Dryer}";$1,298.00;;;1;$0.00;2;30;0;;;;;;;;f;f;flexible;2018;4
21;;;f;1.0;-22.98178307520968;-43.20076497509299;Apartment;Entire home/apt;4;3.0;2.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Breakfast,Elevator,""Hot tub"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""First aid kit"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",""Pocket wifi"",""Luggage dropoff allowed"",""Step-free access"",""Wide clearance to bed""}";$400.00;;;1;$0.00;1;30;12;96.0;10.0;10.0;10.0;10.0;10.0;9.0;f;f;strict;2018;4
22;within an hour;94%;f;6.0;-22.986233139187803;-43.20352791940845;Apartment;Entire home/apt;6;3.0;3.0;3.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Breakfast,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox}";$1,728.00;$2,105.00;$211.00;3;$126.00;2;89;45;87.0;8.0;9.0;9.0;9.0;10.0;8.0;t;f;strict;2018;4
23;within an hour;96%;t;3.0;-22.982817069184243;-43.19571177528839;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}";$151.00;;;2;$46.00;3;89;116;97.0;10.0;10.0;10.0;10.0;10.0;9.0;t;f;strict;2018;4
24;;;f;1.0;-22.984982857327967;-43.19135454377816;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",""Private entrance""}";$99.00;$512.00;$51.00;1;$34.00;1;365;79;93.0;10.0;9.0;10.0;10.0;10.0;9.0;f;f;strict;2018;4
25;within an hour;100%;f;10.0;-22.945083234481626;-43.18162271107678;Apartment;Entire home/apt;4;1.0;0.0;2.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Pets allowed"",Doorman,Elevator,""Family/kid friendly"",Essentials,Hangers,Iron,""Laptop friendly workspace""}";$164.00;$0.00;$106.00;2;$106.00;3;365;70;86.0;9.0;8.0;9.0;9.0;9.0;9.0;t;f;strict;2018;4
26;within an hour;100%;t;6.0;-22.98630130756574;-43.19707824115814;Serviced apartment;Entire home/apt;5;1.0;1.0;4.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Front desk/doorperson"",""Babysitter recommendations"",""Pack ’n Play/travel crib"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed""}";$308.00;$342.00;$120.00;2;$21.00;1;420;236;95.0;10.0;10.0;10.0;10.0;10.0;9.0;t;f;strict;2018;4
27;a few days or more;0%;f;1.0;-22.98448796128208;-43.23067691137379;Apartment;Private room;2;1.0;1.0;2.0;Pull-out Sofa;"{Wifi,""Free parking on premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}";$410.00;$342.00;$51.00;1;$0.00;2;8;13;86.0;9.0;10.0;10.0;9.0;10.0;7.0;f;f;strict;2018;4
28;within an hour;100%;f;1.0;-22.98490375114116;-43.19538874348202;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;"{TV,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Elevator,Heating,""Smoke detector"",Essentials,Hangers,""Hair dryer"",""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Luggage dropoff allowed"",""Long term stays allowed"",""Well-lit path to entrance"",""Host greets you"",""Paid parking on premises""}";$256.00;$1,025.00;$154.00;2;$683.00;2;120;12;97.0;9.0;10.0;10.0;10.0;10.0;9.0;f;f;strict;2018;4
29;within a day;100%;f;2.0;-22.985087803450085;-43.30055768107104;House;Private room;2;1.0;1.0;1.0;Real Bed;"{TV,Wifi,""Air conditioning"",Pool,""Free parking on premises"",""Smoking allowed"",Doorman,""Pets live on this property"",Dog(s),Washer,Essentials,""Hair dryer"",Iron}";$201.00;;$50.00;2;$0.00;2;120;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict;2018;4
30;within a few hours;100%;f;1.0;-22.98026529884033;-43.19254657523175;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;"{Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Smoking allowed"",Doorman,Elevator,""Free street parking"",""Buzzer/wireless intercom"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",""Front desk/doorperson"",""Pack ’n Play/travel crib"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed""}";$106.00;$1,370.00;$171.00;2;$68.00;3;365;129;87.0;9.0;8.0;10.0;10.0;9.0;9.0;f;f;strict;2018;4
31;within an hour;100%;f;9.0;-22.981519259702555;-43.19018479326135;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,Essentials,""24-hour check-in"",Hangers,""Hair dryer"",""Laptop friendly workspace"",""Self check-in"",""Front desk/doorperson"",""Hot water"",""Long term stays allowed""}";$109.00;$0.00;$100.00;2;$188.00;4;1125;5;88.0;10.0;10.0;10.0;10.0;9.0;9.0;t;f;strict;2018;4
32;within an hour;100%;f;1.0;-22.982383750259697;-43.19366318041831;Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}";$305.00;;;4;$342.00;5;180;83;96.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;strict;2018;4
33;within a few hours;100%;f;1.0;-22.98118716565726;-43.19372670447497;Apartment;Entire home/apt;12;4.0;4.0;8.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Hangers,Iron,""Laptop friendly workspace""}";$379.00;$2,105.00;$379.00;6;$76.00;2;365;101;86.0;9.0;9.0;10.0;10.0;9.0;9.0;t;f;strict;2018;4
34;within an hour;100%;t;6.0;-22.928748692491084;-43.19341175995508;Bed and breakfast;Private room;16;5.0;7.0;10.0;Real Bed;"{Internet,Wifi,""Wheelchair accessible"",Pool,Kitchen,""Smoking allowed"",Breakfast,""Pets live on this property"",Cat(s),""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""First aid kit"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Luggage dropoff allowed"",""Long term stays allowed"",""Wide doorway"",""Step-free access"",""Wide clearance to bed"",""Step-free access"",""Wide entryway""}";$168.00;;;2;$42.00;1;30;161;95.0;10.0;9.0;10.0;10.0;9.0;9.0;f;f;moderate;2018;4
35;;;f;1.0;-22.976775053963973;-43.192082152445366;Apartment;Private room;2;1.5;1.0;1.0;Real Bed;"{TV,Internet,Wifi,Kitchen,Elevator,""Family/kid friendly"",Washer}";$201.00;;$150.00;1;$200.00;2;6;5;80.0;8.0;8.0;10.0;9.0;10.0;9.0;f;f;moderate;2018;4
36;;;f;2.0;-22.91788629684083;-43.18059101849662;Villa;Private room;2;1.0;1.0;1.0;Real Bed;"{Wifi,""Air conditioning"",Breakfast,""Pets live on this property"",Dog(s),""Free street parking"",""Buzzer/wireless intercom"",Washer,Dryer,""First aid kit"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""Private entrance"",""Hot water"",""Luggage dropoff allowed"",""Host greets you""}";$400.00;;;1;$0.00;2;10;0;;;;;;;;f;f;strict;2018;4
37;within an hour;100%;f;3.0;-22.91431201768764;-43.18884415499858;Apartment;Entire home/apt;2;1.0;1.0;2.0;Real Bed;"{Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Family/kid friendly"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_50""}";$79.00;$0.00;$150.00;2;$50.00;7;365;76;95.0;10.0;9.0;10.0;10.0;8.0;9.0;f;f;strict;2018;4
38;within a few hours;100%;f;7.0;-22.9762875012061;-43.23145352664387;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Free parking on premises"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Long term stays allowed"",""Host greets you""}";$140.00;$0.00;$120.00;2;$25.00;5;90;18;92.0;9.0;9.0;10.0;10.0;10.0;9.0;f;f;strict;2018;4
39;;;f;2.0;-22.925194298131007;-43.19118336151667;Apartment;Private room;2;2.0;1.0;1.0;Real Bed;"{TV,Internet,Wifi,Kitchen,""Smoking allowed"",""Pets allowed"",""Free street parking"",""Buzzer/wireless intercom"",""Suitable for events"",Washer,""Smoke detector"",""Fire extinguisher"",Essentials,""24-hour check-in"",""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Host greets you""}";$68.00;$683.00;$102.00;1;$38.00;2;60;12;94.0;9.0;7.0;9.0;10.0;9.0;8.0;t;f;moderate;2018;4
40;within a day;100%;f;4.0;-22.96924906222345;-43.18283457669387;Apartment;Entire home/apt;5;2.0;2.0;3.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",Washer,Essentials,""Hair dryer"",Iron,""Bed linens"",""Extra pillows and blankets""}";$280.00;;$171.00;1;$0.00;3;60;20;93.0;10.0;8.0;10.0;10.0;10.0;9.0;f;f;strict;2018;4
41;within a few hours;100%;f;3.0;-22.985487643358088;-43.19294505091869;Apartment;Entire home/apt;2;1.0;1.0;1.0;Futon;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Paid parking off premises"",""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""High chair"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Pocket wifi"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallway clearance"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Step-free access"",""Wide doorway"",""Wide clearance to bed"",""Accessible-height bed"",""Step-free access"",""Wide doorway"",""Accessible-height toilet"",""Wide clearance to shower, toilet"",""Step-free access"",""Wide entryway"",""Host greets you"",""Handheld shower head""}";$239.00;$0.00;$0.00;2;$80.00;2;730;0;;;;;;;;t;f;strict;2018;4
42;within an hour;100%;f;7.0;-22.9826973909695;-43.21908031793642;Apartment;Entire home/apt;4;1.0;1.0;3.0;Real Bed;"{TV,Internet,Wifi,Kitchen,""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Front desk/doorperson"",""Pack ’n Play/travel crib"",""Hot water"",Microwave,""Coffee maker"",""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",Waterfront,Beachfront}";$301.00;$330.00;$130.00;2;$20.00;2;90;41;89.0;9.0;9.0;9.0;9.0;10.0;8.0;t;f;strict;2018;4
